zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,rating,entrance_fee,airport_with_50km_radius,weekly_off,significance,DSLR_allowed,number_of_google_review_in_lakhs,best_time_to_visit,latitude,longitude
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,None,Spiritual,Yes,1.9,All,31.61998029999999,74.8764849
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,0,Yes,None,Historical,Yes,0.3,Afternoon,31.6207396,74.88016549999999
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,0,Yes,None,Cultural,Yes,0.17,Evening,31.6048388,74.57407750000002
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,30,Yes,None,Artistic,Yes,0.5,All,30.752535,76.8101038
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,None,1.5,4.5,0,Yes,None,Recreational,Yes,0.11,All,9.4927482,76.3177759
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,None,2,4.3,0,No,None,Nature,Yes,0.3,All,10.0578407,77.0660813
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,0,Yes,None,Historical,Yes,0.1,All,9.9657787,76.2421147
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,None,1,4.7,0,Yes,None,Religious,No,0.46,All,8.482777900000002,76.9435906
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,None,1.5,3.9,0,Yes,None,Recreational,Yes,0.059,All,11.2626228,75.7673095
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,None,3,4.5,300,No,None,Wildlife,Yes,2.2,All,11.6716011,76.36865639999999
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,50,No,None,Wildlife,Yes,0.14,All,9.4631378,77.2286518
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,50,Yes,None,Wildlife,Yes,0.1,All,9.6274375,76.4285625
Southern,Kerala,Varkala,Varkala Beach,Beach,None,2,4.6,0,Yes,None,Recreational,Yes,0.1,All,8.7355515,76.7031667
Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,None,Historical,Yes,0.22,All,12.3929083,75.03355300000001
Southern,Kerala,Kovalam,Kovalam Beach,Beach,None,2,4.4,0,Yes,None,Recreational,Yes,0.68,All,8.3837841,76.98041760000001
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,20,Yes,None,Historical,Yes,0.11,All,11.8541418,75.3714455
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,None,1,4.5,0,No,None,Nature,Yes,0.03,Morning,10.5555329,76.71440989999999
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,9.933010699999999,76.29897869999999
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,None,Entertainment,Yes,0.41,All,12.8349095,77.40094090000001
Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,50,Yes,None,Historical,Yes,2.5,All,12.305163,76.65517489999999
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,None,3,4.7,0,No,None,Historical,Yes,0.05,All,15.3349769,76.4619233
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,None,1,4.1,0,No,None,Nature,Yes,0.03,Morning,12.458256,75.71951419999999
Southern,Karnataka,Gokarna,Om Beach,Beach,None,2,4.5,0,No,None,Nature,Yes,0.09,All,14.5192405,74.3230039
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,None,3,4.5,0,No,None,Nature,Yes,0.05,All,13.3908855,75.7213295
Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,None,Religious,No,0.2,All,15.9183365,75.6839686
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,None,Nature,Yes,0.23,Morning,14.2003718,74.7922202
Southern,Karnataka,Mangalore,Panambur Beach,Beach,None,1.5,4.5,0,Yes,None,Recreational,Yes,0.1,All,12.9530213,74.8011783
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,None,1,4.7,0,Yes,None,Religious,No,0.49,All,14.093993,74.4898633
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,None,Historical,Yes,0.25,All,16.8302623,75.7361152
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,No,None,Wildlife,Yes,0.15,Morning,11.7787611,76.4646806
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,15,No,None,Religious,No,0.11,All,13.2125904,75.9941704
Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,Yes,None,Historical,Yes,1.2,All,18.5194647,73.8553175
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,20.5514444,75.7018913
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,Yes,None,Recreational,Yes,0.1,Afternoon,20.00532,73.68844659999999
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,None,Religious,No,0.69,All,19.183748561913887,72.84952351221835
Western,Maharastra,Alibaug,Alibaug Beach,Beach,None,1.5,4.2,0,Yes,None,Recreational,Yes,0.05,Evening,18.6391422,72.8720214
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,No,None,Religious,No,0.1,All,17.1449566,73.2662143
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,Yes,None,Religious,Yes,0.11,Afternoon,21.128056,79.06694399999999
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,Yes,None,Religious,No,0.9,All,18.972145823594737,72.79557377252682
Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,18.7832762,73.4704426
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,None,2,4.6,0,No,None,Recreational,Yes,0.065,Evening,16.0136864,73.4898334
Western,Maharashtra,Satara,Kaas Plateau,Valley,None,2,4.4,300,No,None,Nature,Yes,0.05,Afternoon,17.7208314,73.8237159
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,None,Nature,Yes,0.02,Morning,18.986298627348784,73.26109226607045
Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,20.0267844,75.17708689999999
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,No,None,Cultural,Yes,0.09,Afternoon,24.8318452,79.91985489999999
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,None,Historical,Yes,0.01,Afternoon,23.4873393,77.74182379999999
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,None,Historical,Yes,0.63,Afternoon,22.7184419,75.85506699999999
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,None,Historical,Yes,0.4,Morning,26.2313245,78.1694957
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,None,Religious,No,1.2,All,23.182905,75.76829099999999
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,None,1,4.5,0,No,None,Nature,Yes,0.01,Morning,23.1262738,79.8075411
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,None,1.5,4.6,15,No,None,Nature,Yes,0.065,Morning,22.4750994,78.4072546
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,No,None,Wildlife,Yes,0.1,Morning,22.2994956,80.5864278
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,No,None,Wildlife,Yes,0.05,Morning,23.72176928437226,81.01979855907766
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,None,Historical,Yes,0.1,Afternoon,25.350675,78.64270259999999
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,None,Historical,Yes,0.03,Afternoon,28.5143269,77.17859779999999
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,No,None,Archaeological,Yes,0.07,Afternoon,22.9395461,77.61243309999999
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,None,Religious,Yes,0.01,All,22.6724314,81.7595175
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,None,1.5,4.4,0,No,None,Nature,Yes,0.1,Morning,19.2071733,81.7000604
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,None,1,4.7,0,Yes,None,Recreational,Yes,0.03,Morning,31.104804670195886,77.17467128112584
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,None,2,4.1,0,No,None,Adventure,Yes,0.05,Morning,32.3131134043778,77.1635196403482
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,None,Religious,No,0.15,All,32.2315734,76.3237994
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,None,1.5,4.5,0,No,None,Nature,Yes,0.1,Morning,32.546218,76.0580811
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,0,No,None,Religious,Yes,0.025,Morning,32.2978346,78.01193119999999
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,50,No,None,Wildlife,Yes,0.2,All,31.7985414,77.51601339999999
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,None,2,4.4,0,No,None,Recreational,Yes,0.01,Morning,32.6199739,76.00774
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,None,2,4.5,0,No,None,Nature,Yes,0.01,Morning,31.4254859,78.26499559999999
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,Yes,None,Historical,Yes,0.1,All,32.0875196,76.25418979999999
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,None,Agricultural,Yes,0.015,Morning,32.11883552130572,76.53960416979835
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,None,Nature,Yes,0.01,Morning,31.7543645,77.1011415
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,2500,No,None,Adventure,Yes,0.01,All,32.0573827811029,76.74388749543532
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,None,5,4.8,0,Yes,None,Adventure,Yes,0.01,Morning,32.2585505,76.34053349999999
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,0,No,None,Religious,Yes,1.3,Morning,32.0267951,77.3511063
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,None,2,4.5,0,Yes,None,Nature,Yes,1.1,All,31.2438041,77.5014739
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,None,2,4.7,0,No,None,Nature,Yes,1.2,Morning,32.02966668711751,76.84942199543397
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,None,2.5,4.4,0,No,None,Nature,Yes,0.9,Morning,31.5372894,77.4169443
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,Yes,None,Recreational,Yes,0.1,All,31.0941261,77.278049
Northern,Uttarakhand,Nainital,Naini Lake,Lake,None,1.5,4.2,0,Yes,None,Nature,Yes,0.01,Morning,29.3868622,79.459841
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,Yes,None,Cultural,Yes,0.03,Morning,30.1259072,78.33088149999999
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,None,1,4.5,0,Yes,None,Religious,Yes,0.025,All,29.9573607,78.1749687
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,None,1.5,4.5,25,Yes,None,Nature,Yes,0.01,Morning,30.37815803348385,78.05858762575775
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,None,1.5,4.2,15,Yes,None,Nature,Yes,0.55,Morning,30.487822039850975,78.03668260435849
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,4.5,0,No,None,Adventure,Yes,0.01,Morning,30.530868691998503,79.56151239536072
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,4.8,0,No,None,Religious,No,0.29,All,30.74480789999999,79.4912552
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,No,None,Wildlife,Yes,0.01,All,29.7055045,79.753968
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,No,None,Recreational,Yes,0.025,All,29.61974189999999,79.4610397
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,Yes,None,Wildlife,Yes,0.3,All,29.5521551,78.88321069999999
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,4.8,0,No,None,Religious,No,0.05,All,30.9944091,78.9411825
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,4.8,0,No,None,Religious,No,0.09,All,30.4886998,79.2170211
